                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                  0.886,                 0.6383,                 1.2269,                 0.8042,                0.81044,                 0.8269,                0.51967,                 1.4026,                0.86786,                 1.8056,             9.1968e-05,             9.1968e-05,             9.1968e-05
                     50,                0.87626,                0.62691,                 1.2106,                0.80841,                0.79631,                0.82838,                0.52671,                 1.3828,                0.86415,                 1.7527,             9.0266e-05,             9.0266e-05,             9.0266e-05
                     51,                0.86763,                0.61693,                 1.2117,                0.79641,                0.82188,                0.82736,                0.52559,                 1.3824,                0.85504,                 1.7795,             8.8563e-05,             8.8563e-05,             8.8563e-05
                     52,                0.86301,                0.61998,                 1.2031,                0.81855,                0.80195,                0.83049,                0.52239,                  1.403,                0.86157,                 1.7808,              8.686e-05,              8.686e-05,              8.686e-05
                     53,                0.86498,                0.61595,                 1.2041,                0.79667,                 0.8204,                0.83622,                0.52173,                 1.4124,                0.87025,                 1.8208,             8.5157e-05,             8.5157e-05,             8.5157e-05
                     54,                0.85231,                0.59695,                 1.2015,                0.81228,                0.80227,                0.83353,                0.52153,                 1.4124,                0.83659,                 1.8206,             8.3454e-05,             8.3454e-05,             8.3454e-05
                     55,                0.84454,                0.59931,                 1.1957,                0.80123,                0.81165,                0.82866,                0.52493,                 1.4083,                0.84551,                 1.8214,             8.1752e-05,             8.1752e-05,             8.1752e-05
                     56,                0.83683,                0.59328,                 1.1947,                0.79243,                0.81085,                0.82923,                0.52885,                 1.4078,                0.83156,                 1.8438,             8.0049e-05,             8.0049e-05,             8.0049e-05
                     57,                0.83931,                 0.5932,                 1.1902,                0.81978,                  0.812,                0.83256,                0.52842,                 1.3941,                0.83567,                 1.8109,             7.8346e-05,             7.8346e-05,             7.8346e-05
                     58,                0.83103,                0.58159,                  1.186,                0.79721,                0.81338,                0.82502,                0.52019,                   1.41,                 0.8537,                 1.8219,             7.6643e-05,             7.6643e-05,             7.6643e-05
                     59,                0.82314,                0.57556,                 1.1816,                0.82344,                0.80352,                0.82302,                0.51856,                 1.4154,                 0.8746,                 1.8569,              7.494e-05,              7.494e-05,              7.494e-05
                     60,                0.81517,                 0.5726,                 1.1786,                0.81892,                0.80854,                0.82349,                0.51597,                 1.4365,                0.85547,                 1.8656,             7.3238e-05,             7.3238e-05,             7.3238e-05
                     61,                0.80377,                0.55566,                 1.1679,                0.80939,                0.80946,                0.82541,                0.52296,                 1.3961,                0.85701,                 1.8416,             7.1535e-05,             7.1535e-05,             7.1535e-05
                     62,                0.79667,                0.54932,                 1.1626,                0.82602,                0.80348,                0.83833,                0.52836,                 1.3998,                0.82627,                 1.8278,             6.9832e-05,             6.9832e-05,             6.9832e-05
                     63,                 0.8059,                0.56156,                 1.1754,                0.80797,                0.80896,                0.82735,                 0.5286,                 1.4005,                0.84942,                  1.858,             6.8129e-05,             6.8129e-05,             6.8129e-05
                     64,                0.80199,                0.55871,                 1.1758,                0.80766,                0.81708,                0.82798,                0.52263,                 1.4083,                0.83293,                  1.842,             6.6426e-05,             6.6426e-05,             6.6426e-05
                     65,                0.78614,                0.53992,                 1.1687,                0.80272,                0.80729,                0.82214,                0.51862,                 1.4234,                0.86327,                 1.8877,             6.4724e-05,             6.4724e-05,             6.4724e-05
                     66,                0.77602,                0.55426,                 1.1626,                 0.8195,                0.80022,                0.82296,                0.51522,                 1.4195,                0.85041,                 1.9215,             6.3021e-05,             6.3021e-05,             6.3021e-05
                     67,                0.77414,                 0.5324,                 1.1485,                0.81923,                0.79396,                0.82163,                0.51764,                 1.4153,                0.86935,                 1.8668,             6.1318e-05,             6.1318e-05,             6.1318e-05
                     68,                0.76285,                0.52926,                 1.1449,                0.84091,                0.77813,                0.83167,                0.53048,                 1.4022,                0.85767,                 1.8751,             5.9615e-05,             5.9615e-05,             5.9615e-05
                     69,                0.75981,                0.52178,                 1.1466,                0.80876,                0.82098,                0.83384,                0.52618,                 1.4022,                 0.8441,                 1.8747,             5.7912e-05,             5.7912e-05,             5.7912e-05
                     70,                0.75754,                 0.5209,                 1.1466,                0.80503,                0.82454,                0.83399,                0.52932,                 1.3928,                0.85036,                 1.8879,              5.621e-05,              5.621e-05,              5.621e-05
                     71,                0.74743,                 0.5048,                 1.1399,                0.80438,                0.81656,                0.83226,                0.52155,                 1.4129,                0.85389,                 1.8906,             5.4507e-05,             5.4507e-05,             5.4507e-05
                     72,                0.75173,                 0.5125,                 1.1356,                0.82214,                0.81913,                0.83835,                0.53446,                 1.3848,                0.82103,                  1.847,             5.2804e-05,             5.2804e-05,             5.2804e-05
                     73,                 0.7455,                0.51216,                 1.1359,                0.81038,                0.82037,                0.83136,                0.52952,                 1.4057,                 0.8598,                 1.8794,             5.1101e-05,             5.1101e-05,             5.1101e-05
